roll_values,box,dice_values_to_roll,expected_score
"(2, 2, 2, 2, 4)",Ones,"(2, 2, 2, 2, 4)",1.5277777777777757
"(2, 2, 2, 2, 4)",Ones,"(2, 4)",1.111111111111111
"(2, 2, 2, 2, 4)",Ones,"(2,)",0.9722222222222219
"(2, 2, 2, 2, 4)",Ones,"(2, 2, 2)",1.2499999999999996
"(2, 2, 2, 2, 4)",Ones,"(4,)",0.9722222222222219
"(2, 2, 2, 2, 4)",Ones,"(2, 2, 4)",1.249999999999999
"(2, 2, 2, 2, 4)",Ones,"(2, 2, 2, 2)",1.3888888888888875
"(2, 2, 2, 2, 4)",Ones,"(2, 2)",1.1111111111111107
"(2, 2, 2, 2, 4)",Ones,"(2, 2, 2, 4)",1.3888888888888873
"(2, 2, 2, 2, 4)",Ones,(),0.0
"(2, 2, 2, 2, 4)",Twos,"(2, 2, 2, 2, 4)",3.0555555555555527
"(2, 2, 2, 2, 4)",Twos,"(2, 4)",7.2222222222222205
"(2, 2, 2, 2, 4)",Twos,"(2,)",6.944444444444445
"(2, 2, 2, 2, 4)",Twos,"(2, 2, 2)",4.166666666666664
"(2, 2, 2, 2, 4)",Twos,"(4,)",8.611111111111109
"(2, 2, 2, 2, 4)",Twos,"(2, 2, 4)",5.83333333333333
"(2, 2, 2, 2, 4)",Twos,"(2, 2, 2, 2)",2.7777777777777732
"(2, 2, 2, 2, 4)",Twos,"(2, 2)",5.555555555555554
"(2, 2, 2, 2, 4)",Twos,"(2, 2, 2, 4)",4.444444444444439
"(2, 2, 2, 2, 4)",Twos,(),8.0
"(2, 2, 2, 2, 4)",Threes,"(2, 2, 2, 2, 4)",4.583333333333331
"(2, 2, 2, 2, 4)",Threes,"(2, 4)",3.3333333333333304
"(2, 2, 2, 2, 4)",Threes,"(2,)",2.9166666666666634
"(2, 2, 2, 2, 4)",Threes,"(2, 2, 2)",3.749999999999995
"(2, 2, 2, 2, 4)",Threes,"(4,)",2.9166666666666634
"(2, 2, 2, 2, 4)",Threes,"(2, 2, 4)",3.7499999999999964
"(2, 2, 2, 2, 4)",Threes,"(2, 2, 2, 2)",4.16666666666666
