,roll_values,dice_values_to_roll,hit_probability
0,"(2, 2, 2, 2, 4)","(2, 2, 2)",0.24999999999999992
1,"(3, 4, 5, 5, 5)","(5, 5)",0.5555555555555557
2,"(1, 2, 2, 2, 6)","(1, 2, 2, 2, 6)",0.15432098765432095
3,"(3, 3, 4, 4, 4)","(3, 4, 4)",0.36111111111111105
4,"(2, 5, 5, 6, 6)","(2, 5, 5, 6, 6)",0.15432098765432095
5,"(1, 1, 3, 4, 4)","(1, 4)",0.36111111111111116
6,"(1, 2, 2, 6, 6)","(1, 2, 2, 6, 6)",0.15432098765432095
7,"(2, 3, 4, 4, 5)","(4,)",0.9999999999999999
8,"(1, 1, 2, 3, 6)","(1, 6)",0.3055555555555555
9,"(1, 3, 3, 3, 5)","(1, 3, 3)",0.2499999999999999
10,"(2, 2, 3, 6, 6)","(2, 6, 6)",0.2499999999999999
11,"(1, 1, 1, 1, 1)","(1, 1, 1, 1, 1)",0.15432098765432095
12,"(2, 3, 3, 4, 5)","(3,)",0.9999999999999999
13,"(3, 3, 4, 5, 5)","(3, 5)",0.5555555555555557
14,"(1, 3, 5, 6, 6)","(1, 6)",0.3055555555555556
15,"(5, 5, 5, 5, 6)","(5, 5, 5, 5, 6)",0.15432098765432095
16,"(4, 4, 4, 5, 5)","(4, 4, 5)",0.24999999999999992
17,"(1, 1, 3, 3, 5)","(1, 1, 3)",0.2499999999999999
18,"(2, 2, 2, 5, 5)","(2, 2, 2, 5, 5)",0.15432098765432095
19,"(3, 4, 6, 6, 6)","(6, 6)",0.36111111111111116
20,"(3, 4, 5, 6, 6)","(6,)",0.9999999999999999
21,"(1, 5, 5, 5, 6)","(1, 5, 5, 5, 6)",0.15432098765432095
22,"(1, 2, 5, 5, 6)","(1, 2, 5, 5, 6)",0.15432098765432095
23,"(3, 3, 4, 4, 6)","(3, 4)",0.36111111111111116
24,"(1, 1, 3, 4, 6)","(1, 1)",0.36111111111111116
25,"(3, 3, 3, 3, 5)","(3, 3, 3)",0.2499999999999999
26,"(3, 4, 4, 5, 5)","(4, 5)",0.5555555555555557
27,"(1, 1, 1, 2, 5)","(1, 1, 1, 2, 5)",0.15432098765432095
