roll_values,box,dice_values_to_roll,expected_score,hit_probability
"(2, 2, 2, 2, 4)",Ones,"(2, 2, 2, 2, 4)",0.8333333333333328,0.5981224279835382
"(2, 2, 2, 2, 4)",Ones,"(2, 4)",0.33333333333333337,0.3055555555555555
"(2, 2, 2, 2, 4)",Ones,"(2,)",0.16666666666666666,0.16666666666666666
"(2, 2, 2, 2, 4)",Ones,"(2, 2, 2)",0.5,0.4212962962962963
"(2, 2, 2, 2, 4)",Ones,"(4,)",0.16666666666666666,0.16666666666666666
"(2, 2, 2, 2, 4)",Ones,"(2, 2, 4)",0.5,0.4212962962962963
"(2, 2, 2, 2, 4)",Ones,"(2, 2, 2, 2)",0.6666666666666664,0.5177469135802466
"(2, 2, 2, 2, 4)",Ones,"(2, 2)",0.33333333333333337,0.3055555555555556
"(2, 2, 2, 2, 4)",Ones,"(2, 2, 2, 4)",0.6666666666666663,0.5177469135802465
"(2, 2, 2, 2, 4)",Ones,(),0.0,0.0
"(2, 2, 2, 2, 4)",Twos,"(2, 2, 2, 2, 4)",1.6666666666666654,0.5981224279835381
"(2, 2, 2, 2, 4)",Twos,"(2, 4)",6.666666666666667,1.0000000000000002
"(2, 2, 2, 2, 4)",Twos,"(2,)",6.333333333333333,0.9999999999999999
"(2, 2, 2, 2, 4)",Twos,"(2, 2, 2)",2.9999999999999982,0.9999999999999994
"(2, 2, 2, 2, 4)",Twos,"(4,)",8.333333333333332,0.9999999999999999
"(2, 2, 2, 2, 4)",Twos,"(2, 2, 4)",4.999999999999997,0.9999999999999993
"(2, 2, 2, 2, 4)",Twos,"(2, 2, 2, 2)",1.3333333333333321,0.5177469135802465
"(2, 2, 2, 2, 4)",Twos,"(2, 2)",4.666666666666668,1.0000000000000002
"(2, 2, 2, 2, 4)",Twos,"(2, 2, 2, 4)",3.3333333333333335,1.0000000000000007
"(2, 2, 2, 2, 4)",Twos,(),8.0,1.0
"(2, 2, 2, 2, 4)",Threes,"(2, 2, 2, 2, 4)",2.4999999999999956,0.598122427983538
"(2, 2, 2, 2, 4)",Threes,"(2, 4)",0.9999999999999999,0.3055555555555556
"(2, 2, 2, 2, 4)",Threes,"(2,)",0.5,0.16666666666666666
"(2, 2, 2, 2, 4)",Threes,"(2, 2, 2)",1.4999999999999996,0.4212962962962963
"(2, 2, 2, 2, 4)",Threes,"(4,)",0.5,0.16666666666666666
"(2, 2, 2, 2, 4)",Threes,"(2, 2, 4)",1.4999999999999993,0.4212962962962963
"(2, 2, 2, 2, 4)",Threes,"(2, 2, 2, 2)",1.9999999999999987,0.5177469135802466
"(2, 2, 2, 2, 4)",Threes,"(2, 2)",0.9999999999999999,0.3055555555555556
"(2, 2, 2, 2, 4)",Threes,"(2, 2, 2, 4)",1.9999999999999987,0.5177469135802467
"(2, 2, 2, 2, 4)",Threes,(),0.0,0.0
"(2, 2, 2, 2, 4)",Fours,"(2, 2, 2, 2, 4)",3.333333333333332,0.5981224279835383
"(2, 2, 2, 2, 4)",Fours,"(2, 4)",1.3333333333333335,0.3055555555555555
"(2, 2, 2, 2, 4)",Fours,"(2,)",4.666666666666666,0.9999999999999999
"(2, 2, 2, 2, 4)",Fours,"(2, 2, 2)",5.999999999999996,0.9999999999999994
"(2, 2, 2, 2, 4)",Fours,"(4,)",0.6666666666666666,0.16666666666666666
"(2, 2, 2, 2, 4)",Fours,"(2, 2, 4)",2.0,0.4212962962962963
"(2, 2, 2, 2, 4)",Fours,"(2, 2, 2, 2)",6.666666666666666,1.000000000000001
"(2, 2, 2, 2, 4)",Fours,"(2, 2)",5.333333333333334,1.0000000000000002
"(2, 2, 2, 2, 4)",Fours,"(2, 2, 2, 4)",2.6666666666666643,0.5177469135802465
"(2, 2, 2, 2, 4)",Fours,(),4.0,1.0
"(2, 2, 2, 2, 4)",Fives,"(2, 2, 2, 2, 4)",4.166666666666666,0.5981224279835382
"(2, 2, 2, 2, 4)",Fives,"(2, 4)",1.6666666666666665,0.3055555555555556
"(2, 2, 2, 2, 4)",Fives,"(2,)",0.8333333333333333,0.16666666666666666
"(2, 2, 2, 2, 4)",Fives,"(2, 2, 2)",2.4999999999999996,0.42129629629629634
"(2, 2, 2, 2, 4)",Fives,"(4,)",0.8333333333333333,0.16666666666666666
"(2, 2, 2, 2, 4)",Fives,"(2, 2, 4)",2.4999999999999996,0.4212962962962963
