roll_values,box,dice_values_to_roll,expected_score,hit_probability
"(2, 2, 2, 2, 4)",Ones,"(2, 2, 2, 2, 4)",1.5277777777777757,0.8384944171101552
"(2, 2, 2, 2, 4)",Ones,"(2, 4)",1.111111111111111,0.7209183527663462
"(2, 2, 2, 2, 4)",Ones,"(2,)",0.9722222222222219,0.6651020233196153
"(2, 2, 2, 2, 4)",Ones,"(2, 2, 2)",1.2499999999999996,0.7674319606386221
"(2, 2, 2, 2, 4)",Ones,"(4,)",0.9722222222222219,0.6651020233196154
"(2, 2, 2, 2, 4)",Ones,"(2, 2, 4)",1.249999999999999,0.7674319606386218
"(2, 2, 2, 2, 4)",Ones,"(2, 2, 2, 2)",1.3888888888888875,0.8061933005321864
"(2, 2, 2, 2, 4)",Ones,"(2, 2)",1.1111111111111107,0.720918352766346
"(2, 2, 2, 2, 4)",Ones,"(2, 2, 2, 4)",1.3888888888888873,0.8061933005321861
"(2, 2, 2, 2, 4)",Ones,(),0.0,0.0
"(2, 2, 2, 2, 4)",Twos,"(2, 2, 2, 2, 4)",3.0555555555555527,0.838494417110154
"(2, 2, 2, 2, 4)",Twos,"(2, 4)",7.2222222222222205,1.0000000000000002
"(2, 2, 2, 2, 4)",Twos,"(2,)",6.944444444444445,1.0000000000000002
"(2, 2, 2, 2, 4)",Twos,"(2, 2, 2)",4.166666666666664,1.0000000000000007
"(2, 2, 2, 2, 4)",Twos,"(4,)",8.611111111111109,0.9999999999999999
"(2, 2, 2, 2, 4)",Twos,"(2, 2, 4)",5.83333333333333,0.9999999999999992
"(2, 2, 2, 2, 4)",Twos,"(2, 2, 2, 2)",2.7777777777777732,0.8061933005321861
"(2, 2, 2, 2, 4)",Twos,"(2, 2)",5.555555555555554,0.9999999999999993
"(2, 2, 2, 2, 4)",Twos,"(2, 2, 2, 4)",4.444444444444439,1.0000000000000009
"(2, 2, 2, 2, 4)",Twos,(),8.0,1.0
"(2, 2, 2, 2, 4)",Threes,"(2, 2, 2, 2, 4)",4.583333333333331,0.8384944171101545
"(2, 2, 2, 2, 4)",Threes,"(2, 4)",3.3333333333333304,0.720918352766346
"(2, 2, 2, 2, 4)",Threes,"(2,)",2.9166666666666634,0.665102023319615
"(2, 2, 2, 2, 4)",Threes,"(2, 2, 2)",3.749999999999995,0.7674319606386215
"(2, 2, 2, 2, 4)",Threes,"(4,)",2.9166666666666634,0.665102023319615
"(2, 2, 2, 2, 4)",Threes,"(2, 2, 4)",3.7499999999999964,0.7674319606386214
"(2, 2, 2, 2, 4)",Threes,"(2, 2, 2, 2)",4.16666666666666,0.8061933005321864
"(2, 2, 2, 2, 4)",Threes,"(2, 2)",3.3333333333333313,0.720918352766346
"(2, 2, 2, 2, 4)",Threes,"(2, 2, 2, 4)",4.166666666666662,0.8061933005321861
"(2, 2, 2, 2, 4)",Threes,(),0.0,0.0
"(2, 2, 2, 2, 4)",Fours,"(2, 2, 2, 2, 4)",6.1111111111111125,0.8384944171101548
"(2, 2, 2, 2, 4)",Fours,"(2, 4)",4.444444444444443,0.7209183527663461
"(2, 2, 2, 2, 4)",Fours,"(2,)",7.22222222222222,1.0000000000000009
"(2, 2, 2, 2, 4)",Fours,"(2, 2, 2)",8.333333333333327,1.0000000000000007
"(2, 2, 2, 2, 4)",Fours,"(4,)",3.8888888888888875,0.6651020233196155
"(2, 2, 2, 2, 4)",Fours,"(2, 2, 4)",4.999999999999995,0.7674319606386216
"(2, 2, 2, 2, 4)",Fours,"(2, 2, 2, 2)",8.888888888888877,1.0000000000000016
"(2, 2, 2, 2, 4)",Fours,"(2, 2)",7.777777777777775,1.0000000000000004
"(2, 2, 2, 2, 4)",Fours,"(2, 2, 2, 4)",5.555555555555548,0.8061933005321861
"(2, 2, 2, 2, 4)",Fours,(),4.0,1.0
"(2, 2, 2, 2, 4)",Fives,"(2, 2, 2, 2, 4)",7.6388888888889035,0.8384944171101545
"(2, 2, 2, 2, 4)",Fives,"(2, 4)",5.555555555555556,0.7209183527663463
"(2, 2, 2, 2, 4)",Fives,"(2,)",4.861111111111112,0.6651020233196153
"(2, 2, 2, 2, 4)",Fives,"(2, 2, 2)",6.249999999999997,0.767431960638622
"(2, 2, 2, 2, 4)",Fives,"(4,)",4.861111111111112,0.6651020233196154
"(2, 2, 2, 2, 4)",Fives,"(2, 2, 4)",6.249999999999996,0.7674319606386216
"(2, 2, 2, 2, 4)",Fives,"(2, 2, 2, 2)",6.944444444444444,0.8061933005321862
"(2, 2, 2, 2, 4)",Fives,"(2, 2)",5.555555555555557,0.7209183527663461
